timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.2864,0.1026,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.225,3.3035,0.2150,0,0.0,true,1,19.5148,Free Play,0,0.3500,,Off,0.0000
0.325,3.3305,0.3279,0,0.0,true,1,19.4991,Free Play,0,0.3500,,Off,0.0000
0.424,3.3695,0.4546,0,0.0,true,1,19.4696,Free Play,0,0.3500,,Off,0.0000
0.534,3.4276,0.6152,0,0.0,true,1,19.4107,Free Play,0,0.3500,,Off,0.0000
0.634,3.4977,0.7901,0,0.0,false,1,19.3166,Free Play,0,0.3500,,Off,0.0000
0.734,3.5871,0.9987,0,0.0,false,1,19.1613,Free Play,0,0.3500,,Off,0.0000
0.841,3.7081,1.2673,0,0.0,false,1,18.8904,Free Play,0,0.3500,,Off,0.0000
0.876,0.0,0.0,1,1.79,false,1,,Free Play,0,0.3500,0.242,,0.0000
0.941,3.7171,-0.2172,0,0.0,false,1,18.0634,Free Play,0,0.3500,,Off,0.0000
1.041,3.7106,0.0858,0,0.0,false,1,18.0780,Free Play,0,0.3500,,Off,0.0000
1.141,3.7342,0.3864,0,0.0,false,1,18.0221,Free Play,0,0.3500,,Off,0.0000
1.250,3.7946,0.7258,0,0.0,false,1,17.8650,Free Play,0,0.3500,,Off,0.0000
1.318,0.0,0.0,1,1.79,false,1,,Free Play,0,0.3500,0.684,,0.0000
1.350,3.8080,-0.7217,0,0.0,false,1,17.7815,Free Play,0,0.3500,,Off,0.0000
1.458,3.7503,-0.3568,0,0.0,false,1,17.9218,Free Play,0,0.3500,,Off,0.0000
1.562,3.7304,-0.0277,0,0.0,false,1,17.9683,Free Play,0,0.3500,,Off,0.0000
1.659,0.0,0.0,1,1.79,false,1,,Free Play,0,0.3500,1.025,,0.0000
1.667,3.7149,-1.4893,0,0.0,false,1,19.1607,Free Play,0,0.3500,,Off,0.0000
1.767,3.5814,-1.1893,0,0.0,false,1,19.3936,Free Play,0,0.3500,,Off,0.0000
1.874,3.4679,-0.9328,0,0.0,true,1,19.5375,Free Play,0,0.3500,,Off,0.0000
1.974,3.3844,-0.7450,0,0.0,true,1,19.6099,Free Play,0,0.3500,,Off,0.0000
2.074,3.3176,-0.5968,0,0.0,true,1,19.6466,Free Play,0,0.3500,,Off,0.0000
2.174,3.2639,-0.4808,0,0.0,true,1,19.6623,Free Play,0,0.3500,,Off,0.0000
2.284,3.2169,-0.3834,0,0.0,true,1,19.6657,Free Play,0,0.3500,,Off,0.0000
2.391,3.1798,-0.3122,0,0.0,true,1,19.6616,Free Play,0,0.3500,,Off,0.0000
